Subject	TestIndex	Response	Correct
0	1	13	0
0	2	4	0
0	3	1	0
0	4	16	0
0	5	5	1
0	6	3	0
0	7	6	0
0	8	16	0
0	9	17	0
0	10	14	0
0	11	9	0
0	12	16	0
0	13	11	0
0	14	14	1
0	15	9	0
0	16	16	1
0	17	3	0
0	18	13	0
1	1	11	0
1	2	3	0
1	3	1	0
1	4	3	0
1	5	5	1
1	6	7	0
1	7	7	1
1	8	16	0
1	9	9	1
1	10	4	0
1	11	8	0
1	12	15	0
1	13	11	0
1	14	14	1
1	15	2	0
1	16	18	0
1	17	17	1
1	18	13	0
2	1	15	0
2	2	7	0
2	3	1	0
2	4	12	0
2	5	15	0
2	6	6	1
2	7	9	0
2	8	5	0
2	9	9	1
2	10	18	0
2	11	9	0
2	12	9	0
2	13	18	0
2	14	14	1
2	15	15	1
2	16	5	0
2	17	17	1
2	18	11	0
3	1	1	1
3	2	1	0
3	3	10	0
3	4	8	0
3	5	3	0
3	6	2	0
3	7	4	0
3	8	11	0
3	9	7	0
3	10	10	1
3	11	11	1
3	12	10	0
3	13	13	1
3	14	14	1
3	15	15	1
3	16	13	0
3	17	17	1
3	18	9	0
4	1	1	1
4	2	5	0
4	3	3	1
4	4	15	0
4	5	17	0
4	6	7	0
4	7	15	0
4	8	11	0
4	9	9	1
4	10	12	0
4	11	11	1
4	12	3	0
4	13	2	0
4	14	14	1
4	15	18	0
4	16	1	0
4	17	3	0
4	18	18	1
5	1	17	0
5	2	15	0
5	3	13	0
5	4	1	0
5	5	15	0
5	6	6	1
5	7	7	1
5	8	12	0
5	9	18	0
5	10	10	1
5	11	11	1
5	12	12	1
5	13	7	0
5	14	7	0
5	15	7	0
5	16	16	1
5	17	17	1
5	18	18	1
6	1	1	1
6	2	14	0
6	3	3	1
6	4	15	0
6	5	12	0
6	6	6	1
6	7	13	0
6	8	8	1
6	9	7	0
6	10	11	0
6	11	7	0
6	12	4	0
6	13	13	1
6	14	14	1
6	15	5	0
6	16	15	0
6	17	14	0
6	18	18	1
7	1	4	0
7	2	1	0
7	3	1	0
7	4	11	0
7	5	3	0
7	6	2	0
7	7	14	0
7	8	18	0
7	9	18	0
7	10	9	0
7	11	1	0
7	12	10	0
7	13	12	0
7	14	12	0
7	15	8	0
7	16	15	0
7	17	17	1
7	18	18	1
8	1	1	1
8	2	2	1
8	3	9	0
8	4	11	0
8	5	12	0
8	6	4	0
8	7	7	1
8	8	11	0
8	9	8	0
8	10	16	0
8	11	11	1
8	12	13	0
8	13	1	0
8	14	14	1
8	15	13	0
8	16	15	0
8	17	4	0
8	18	10	0
9	1	1	1
9	2	5	0
9	3	6	0
9	4	16	0
9	5	1	0
9	6	2	0
9	7	1	0
9	8	5	0
9	9	9	1
9	10	16	0
9	11	9	0
9	12	15	0
9	13	16	0
9	14	7	0
9	15	6	0
9	16	16	1
9	17	17	1
9	18	8	0
